Time_ms,Neuron_membrane_potential_mV
2.64,7.617988897
2.65,7.110714165
2.66,6.604613104
2.67,6.099711014
2.68,5.596031388
2.69,5.093595967
2.7,4.592424787
2.71,4.092536227
2.72,3.59394706
2.73,3.096672496
2.74,2.600726228
2.75,2.106120475
2.76,1.612866024
2.77,1.120972267
2.78,0.630447243
2.79,0.141297671
2.8,-0.346471013
2.81,-0.832854627
2.82,-1.31785021
2.83,-1.801455998
2.84,-2.283671393
2.85,-2.764496945
2.86,-3.243934328
2.87,-3.721986326
2.88,-4.198656812
2.89,-4.673950741
2.9,-5.147874139
2.91,-5.620434093
2.92,-6.091638755
2.93,-6.561497334
2.94,-7.030020105
2.95,-7.497218415
2.96,-7.963104689
2.97,-8.427692452
2.98,-8.89099634
2.99,-9.353032123
3,-9.813816736
3.01,-10.2733683
3.02,-10.73170617
3.03,-11.18885095
3.04,-11.64482456
3.05,-12.09965027
3.06,-12.55335275
3.07,-13.00595813
3.08,-13.45749407
3.09,-13.9079898
3.1,-14.35747621
3.11,-14.80598591
3.12,-15.2535533
3.13,-15.70021471
3.14,-16.14600838
3.15,-16.59097467
3.16,-17.03515604
3.17,-17.47859726
3.18,-17.92134541
3.19,-18.36345006
3.2,-18.80496333
3.21,-19.24594003
3.22,-19.68643779
3.23,-20.12651711
3.24,-20.56624158
3.25,-21.00567791
3.26,-21.4448961
3.27,-21.88396958
3.28,-22.32297529
3.29,-22.76199387
3.3,-23.20110972
3.31,-23.64041118
3.32,-24.07999064
3.33,-24.51994467
3.34,-24.96037415
3.35,-25.40138435
3.36,-25.84308514
3.37,-26.28559101
3.38,-26.72902123
3.39,-27.17349996
3.4,-27.61915633
3.41,-28.06612453
3.42,-28.5145439
3.43,-28.96455898
3.44,-29.41631959
3.45,-29.86998085
3.46,-30.32570323
3.47,-30.7836525
3.48,-31.24399975
3.49,-31.70692134
3.5,-32.17259879
3.51,-32.64121871
3.52,-33.11297258
3.53,-33.58805661
3.54,-34.06667148
3.55,-34.54902198
3.56,-35.03531669
3.57,-35.5257675
3.58,-36.02058907
3.59,-36.51999823
3.6,-37.02421321
3.61,-37.53345282
3.62,-38.04793546
3.63,-38.567878
3.64,-39.09349449
3.65,-39.62499471
3.66,-40.16258254
3.67,-40.70645406
3.68,-41.25679555
3.69,-41.81378108
3.7,-42.37756999
3.71,-42.94830403
3.72,-43.52610418
3.73,-44.11106724
3.74,-44.70326206
3.75,-45.30272547
3.76,-45.90945788
3.77,-46.52341864
3.78,-47.14452103
3.79,-47.77262705
3.8,-48.40754201
3.81,-49.04900894
3.82,-49.69670296
3.83,-50.35022569
3.84,-51.00909975
3.85,-51.67276368
3.86,-52.34056723
3.87,-53.01176742
3.88,-53.68552543
3.89,-54.36090469
3.9,-55.03687038
3.91,-55.71229059
3.92,-56.3859395
3.93,-57.05650264
3.94,-57.72258472
3.95,-58.38271995
3.96,-59.03538508
3.97,-59.67901512
3.98,-60.31202157
3.99,-60.93281309
4,-61.5398179
4.01,-62.13150777
4.02,-62.70642262
4.03,-63.26319504
4.04,-63.80057401
4.05,-64.31744674
4.06,-64.81285781
4.07,-65.28602494
4.08,-65.73635057
4.09,-66.16342881
4.1,-66.56704765
4.11,-66.94718623
4.12,-67.30400748
4.13,-67.63784666
4.14,-67.94919628
4.15,-68.23868832
4.16,-68.50707445
4.17,-68.75520524
4.18,-68.98400907
4.19,-69.19447153
4.2,-69.38761594
4.21,-69.56448536
4.22,-69.72612659
4.23,-69.87357624
4.24,-70.00784904
4.25,-70.12992825
4.26,-70.2407582
4.27,-70.34123877
4.28,-70.43222148
4.29,-70.51450719
4.3,-70.58884499
4.31,-70.65593216
4.32,-70.716415
4.33,-70.77089028
4.34,-70.8199072
4.35,-70.86396969
4.36,-70.90353894
4.37,-70.93903609
4.38,-70.97084493
4.39,-70.99931461
4.4,-71.02476232
4.41,-71.04747581
4.42,-71.06771586
4.43,-71.08571856
4.44,-71.10169754
4.45,-71.1158459
4.46,-71.12833818
4.47,-71.13933199
4.48,-71.14896968
4.49,-71.15737973
4.5,-71.16467812
4.51,-71.17096952
4.52,-71.17634839
4.53,-71.18089997
4.54,-71.1847012
4.55,-71.18782153
4.56,-71.19032365
4.57,-71.19226415
4.58,-71.19369417
4.59,-71.19465986
4.6,-71.19520295
4.61,-71.19536113
4.62,-71.19516849
4.63,-71.19465584
4.64,-71.19385107
