Time(ms),WT_avg_1050,WT+sem_1050,WT-sem_1050,P_avg_1050,P+sem_1050,P-sem_1050,EPN_avg_1050,EPN+sem_1050,EPN-sem_1050,Time_ms,WT_avg_10ms,WT+sem_10ms,WT-sem_10ms,P_avg_10ms,P+sem_10ms,P-sem_10ms,EPN_avg_10ms,EPN+sem_10ms,EPN-sem_10ms,Time_ms,WT_avg_dVdt,WT+sem_dVdt,WT-sem_dVdt,P_avg_dVdt,P+sem_dVdt,P-sem_dVdt,EPN_avg_dVdt,EPN+sem_dVdt,EPN-sem_dVdt,WT_RMP_mV,P_RMP_mV,EPN_RMP_mV,WT_Overshoot_mV,P_Overshoot_mV,EPN_Overshoot_mV,WT_Amplitude_mV,P_Amplitude_mV,EPN_Amplitude_mV,WT_APD_10-50_ms,P_APD_10-50_ms,EPN_APD_10-50_ms,WT_dVdtmax_V_per_s,P_dVdtmax_V_per_s,EPN_dVdtmax_V_per_s,WT_dVdtmin_V_per_s,P_dVdtmin_V_per_s,EPN_dVdtmin_V_per_s,WT_refractory_period,P_refractory_period,EPN_refractory_period
1,11.73828108,14.86579891,8.610763256,13.32713604,18.72112144,7.933150643,12.0129989,14.85365894,9.17233886,1,-5.66207701,-1.312972302,-10.01118172,-8.87619355,-2.730310717,-15.02207638,-16.28791981,-11.13375281,-21.4420868,1,205.4299859,228.9472469,181.9127249,211.5856595,245.3695947,177.8017242,184.1057938,205.6985134,162.5130741,,,,,,,,,,,,,,,,,,,,,
1.02,9.975043231,13.13319921,6.816887252,11.80125713,17.41289035,6.189623922,11.300922,14.28718573,8.314658258,1.02,-1.62697506,2.429506531,-5.68345665,-4.061198102,1.681594372,-9.803990576,-12.86995106,-7.97556935,-17.76433276,1.02,197.5325979,221.6770016,173.3881941,194.3941795,229.5858748,159.2024841,185.7045666,209.7657325,161.6434006,,,,,,,,,,,,,,,,,,,,,
1.04,8.38134761,11.56697828,5.195716936,10.61870086,16.46346419,4.773937535,10.08021887,13.29018288,6.870254861,1.04,2.509852529,6.398247914,-1.378542857,-0.195638084,5.053512576,-5.444788745,-8.933183402,-4.730704952,-13.13566185,1.04,186.9218394,211.0241043,162.8195745,176.6842261,210.3233014,143.0451509,187.990551,214.8783073,161.1027947,,,,,,,,,,,,,,,,,,,,,
1.06,7.025010791,10.32098196,3.729039625,9.245409846,15.33772321,3.153096487,9.503775703,12.87425978,6.133291628,1.06,5.968511389,9.728808301,2.208214478,4.04291455,8.63874637,-0.552917271,-4.782792866,-0.99222415,-8.573361582,1.06,173.9516627,197.6567317,150.2465937,162.3672023,192.5379886,132.1964161,185.9606693,214.0083917,157.912947,,,,,,,,,,,,,,,,,,,,,
1.08,4.990505563,8.280155643,1.700855483,8.139147639,14.4447551,1.833540182,8.01180521,11.68311917,4.340491253,1.08,8.952452448,12.69087863,5.214026266,7.976291339,12.06737478,3.885207897,-1.303788924,2.164868273,-4.772446122,1.08,159.4667113,182.4988939,136.4345286,147.726635,174.7880898,120.6651802,177.5823847,206.2518371,148.9129323,,,,,,,,,,,,,,,,,,,,,
1.1,3.464626749,6.90254121,0.026712289,11.12453938,16.92618334,5.322895414,6.452017945,10.13956327,2.76447262,1.1,12.64847003,16.31943779,8.977502273,11.46885845,15.07308277,7.864634128,1.83952156,4.931803829,-1.252760709,1.1,143.06982,164.2512677,121.8883722,129.2074661,154.2162398,104.1986925,168.1109854,198.461917,137.7600538,,,,,,,,,,,,,,,,,,,,,
1.12,1.769205703,5.180757206,-1.642345801,10.25260857,16.27090824,4.234308908,5.333040052,9.32509447,1.340985634,1.12,14.98815104,18.58082893,11.39547315,13.94417302,17.07257437,10.81577167,5.165937686,7.825421089,2.506454283,1.12,125.34955,143.8902267,106.8088734,111.2415085,134.4105785,88.07243848,161.2989485,193.3855575,129.2123395,,,,,,,,,,,,,,,,,,,,,
1.14,-0.299207828,3.12565443,-3.724070087,14.7145505,17.37193448,12.05716651,7.256139785,10.40515195,4.107127621,1.14,17.12438146,20.8145296,13.43423331,17.26719814,20.05869166,14.47570462,8.492353785,10.9427579,6.041949669,1.14,108.5127432,124.3391891,92.6862973,97.33528773,118.0405843,76.62999112,152.7269657,184.6163661,120.8375653,,,,,,,,,,,,,,,,,,,,,
1.16,0.31179202,3.50200629,-2.87842225,13.29039709,16.05974467,10.52104951,6.111730635,9.236100063,2.987361207,1.16,19.22670361,22.91344645,15.53996078,19.30170335,21.86366536,16.73974133,11.45255868,14.0094932,8.895624167,1.16,92.34365167,105.1184334,79.56886988,84.723423,102.5355537,66.91129228,136.5042068,165.2152987,107.793115,,,,,,,,,,,,,,,,,,,,,
1.18,-1.557409611,1.532867915,-4.647687136,11.96796867,14.93626045,8.999676897,5.196203291,8.464906311,1.927500272,1.18,20.8882162,24.56475427,17.21167814,20.9293073,23.46132597,18.39728863,13.58878914,16.03360782,11.14397046,1.18,77.68410407,88.13918086,67.22902728,72.38832135,87.40057166,57.37607103,115.5696116,140.0961772,91.04304599,,,,,,,,,,,,,,,,,,,,,
1.2,-3.235876366,-0.013327657,-6.458425076,11.35761711,14.43081611,8.284418114,4.128088057,7.464532629,0.791643485,1.2,22.07501086,25.85558837,18.29443334,22.38736926,24.75506745,20.01967107,15.4503614,18.01674312,12.88397969,1.2,65.5402351,74.79619367,56.28427653,60.23288663,73.25817982,47.20759345,96.21929064,116.8502891,75.58829217,,,,,,,,,,,,,,,,,,,,,
1.22,-5.028784066,-1.791148185,-8.266419948,10.08605134,13.1668319,7.005270794,2.373327374,5.797068674,-1.050413925,1.22,23.39743924,27.2361902,19.55868828,23.57416397,25.86071801,21.28760992,17.52555673,20.23565646,14.815457,1.22,53.82396698,61.7835485,45.86438546,46.62945535,58.33732411,34.9215866,78.24728103,94.4721206,62.02244146,,,,,,,,,,,,,,,,,,,,,
1.24,-7.088720644,-3.895874224,-10.28156706,8.96707348,12.00507104,5.929075922,1.610387921,5.1500343,-1.929258458,1.24,24.41469182,28.23548301,20.59390063,24.45578278,26.77528933,22.13627624,17.98332031,20.67598675,15.29065387,1.24,42.73452939,49.20239418,36.2666646,32.40128606,42.83507731,21.9674948,61.94752893,73.80485436,50.09020351,,,,,,,,,,,,,,,,,,,,,
1.26,-8.729040474,-5.631312829,-11.82676812,7.339469433,10.73401331,3.944925551,-0.029932037,3.638103296,-3.69796737,1.26,25.12676864,28.97502482,21.27851247,25.06613435,27.38603488,22.74623381,19.35661132,22.19487287,16.51834978,1.26,34.03537909,38.99750439,29.07325379,21.19407611,30.35471383,12.0334384,50.23975625,59.29785369,41.18165881,,,,,,,,,,,,,,,,,,,,,
1.28,-10.33121321,-7.156270443,-13.50615597,5.762727896,9.249697341,2.275758452,-0.716577545,2.955211425,-4.388366515,1.28,25.43194442,29.29202914,21.57185971,25.60866907,27.87226436,23.34507378,20.18058591,23.01709297,17.34407885,1.28,26.36453862,30.28898087,22.44009636,15.51770535,23.11847409,7.916936605,40.05350834,46.7421502,33.36486647,,,,,,,,,,,,,,,,,,,,,
1.3,-11.44108527,-8.040713151,-14.84145739,4.948925734,8.385592616,1.512258851,-2.395044457,1.598365115,-6.38845403,1.3,25.90666231,29.85401494,21.95930967,25.74430275,27.96676893,23.52183657,21.00456061,23.7674948,18.24162642,1.3,17.67200078,21.13283141,14.21117015,12.15919786,17.6809223,6.637473415,28.96464758,32.61706009,25.31223507,,,,,,,,,,,,,,,,,,,,,
1.32,-12.10683584,-8.237519251,-15.97615243,3.270458897,7.075087527,-0.534169733,-3.806482438,0.115338763,-7.728303639,1.32,26.34747177,30.27736463,22.4175789,26.38856273,28.50768569,24.26943977,20.66886716,23.4415016,17.89623272,1.32,7.061366896,9.759662666,4.363071126,5.000538912,8.277499909,1.723577915,20.34114804,23.28089544,17.40140064,,,,,,,,,,,,,,,,,,,,,
1.34,-12.70439434,-8.1964433,-17.21234538,1.998893102,5.836125122,-1.838338918,-5.141626552,-1.242142019,-9.041111085,1.34,26.48310545,30.40362009,22.56259081,26.01557011,28.18433294,23.84680728,21.55387692,24.35889968,18.74885417,1.34,-4.284239451,-2.127254881,-6.441224021,-5.425669962,-2.823682535,-8.027657388,15.82887454,18.31672716,13.34102192,,,,,,,,,,,,,,,,,,,,,
1.36,-15.02373028,-10.57458136,-19.4728792,0.625602121,4.629395856,-3.378191614,-6.24788858,-1.941815551,-10.55396161,1.36,25.49976129,29.4061189,21.59340368,25.43912697,27.62859397,23.24965996,21.49284182,24.20905378,18.77662986,1.36,-12.59929784,-10.45200589,-14.74658979,-13.68890693,-10.17364491,-17.20416896,11.88306573,14.62078113,9.145350323,,,,,,,,,,,,,,,,,,,,,
1.38,-16.42753887,-11.95360811,-20.90146963,-0.849414165,3.279150451,-4.97797878,-8.422266066,-4.227114232,-12.6174179,1.38,25.70321181,29.64292657,21.76349705,25.43912697,27.60248499,23.27576895,22.25578108,25.05875354,19.45280861,1.38,-18.01496283,-15.62897439,-20.40095127,-19.72363218,-14.91488819,-24.53237617,5.359263906,7.247222947,3.471304865,,,,,,,,,,,,,,,,,,,,,
1.4,-18.07548809,-13.7612134,-22.38976278,-2.171842535,2.204950639,-6.54863571,-9.185205579,-5.04128216,-13.329129,1.4,25.43194442,29.2718076,21.59208124,24.76095857,26.85157835,22.67033878,21.40128899,24.09253441,18.71004356,1.4,-23.5412231,-20.60899724,-26.47344896,-26.74533431,-20.56931852,-32.9213501,-2.628260425,-1.08452152,-4.17199933,,,,,,,,,,,,,,,,,,,,,
1.42,-19.96757813,-15.77793651,-24.15721974,-0.052050686,3.770949194,-3.875050566,-7.659166115,-4.261005103,-11.05732713,1.42,24.51641711,28.35051937,20.68231485,23.91324806,25.90125764,21.92523848,21.82853498,24.56504151,19.09202846,1.42,-29.04215304,-25.06855801,-33.01574807,-34.59420999,-26.66133055,-42.52708943,-9.542636943,-6.885019931,-12.20025395,,,,,,,,,,,,,,,,,,,,,
1.44,-21.18618155,-15.52242666,-26.84993643,-1.822070217,2.178783234,-5.822923668,-9.185045106,-5.525739986,-12.84435023,1.44,24.0077908,27.90568865,20.10989296,23.09944598,25.18821237,21.01067959,21.4012888,24.11018486,18.69239273,1.44,-34.72434001,-30.55705344,-38.89162659,-41.33378141,-31.06027437,-51.60728846,-15.51124511,-12.81762143,-18.20486879,,,,,,,,,,,,,,,,,,,,,
1.46,-23.24611807,-18.04693301,-28.44530313,-2.981738091,1.201198213,-7.164674394,-10.18776551,-6.380046743,-13.99548428,1.46,23.12617183,26.9950429,19.25730076,21.91265138,24.17351701,19.65178575,20.5467968,23.21377081,17.87982279,1.46,-40.22059695,-36.21929081,-44.22190309,-45.37336996,-33.30428162,-57.44245829,-18.76868949,-14.45718318,-23.0801958,,,,,,,,,,,,,,,,,,,,,
1.48,-24.46682167,-19.15438326,-29.77926008,-4.263476467,0.129449707,-8.656402642,-12.36759251,-8.590765961,-16.14441905,1.48,22.51582026,26.41644919,18.61519134,20.86149067,23.06328018,18.65970116,20.48576179,23.10221348,17.8693101,1.48,-44.67937215,-40.24586099,-49.11288331,-47.05788941,-33.94752397,-60.16825485,-17.70561086,-11.8837219,-23.52749982,,,,,,,,,,,,,,,,,,,,,
1.5,-25.99270058,-20.72656529,-31.25883587,-5.789355373,-1.471128017,-10.10758273,-13.37031295,-9.842798214,-16.89782769,1.5,21.22730029,25.03929772,17.41530287,19.97987175,22.14820643,17.81153707,20.08903322,22.50676862,17.67129783,1.5,-50.16717148,-45.71122811,-54.62311485,-50.36010604,-36.61626558,-64.10394651,-16.26944742,-10.20732839,-22.33156645,,,,,,,,,,,,,,,,,,,,,
1.52,-33.02477264,-29.56048539,-36.4890599,-7.254199123,-2.680888562,-11.82750968,-14.46022659,-10.52342494,-18.39702824,1.52,20.14223085,24.00592336,16.27853833,18.7252602,20.97830444,16.47221597,20.02799811,22.52274364,17.53325259,1.52,-56.59548865,-52.10784625,-61.08313105,-57.74732357,-43.65129669,-71.84335044,-19.77719331,-15.07646916,-24.47791746,,,,,,,,,,,,,,,,,,,,,
1.54,-38.15859413,-37.88056564,-38.43662262,-8.719042873,-3.909437757,-13.52864799,-16.16049165,-12.24387578,-20.07710753,1.54,19.26061192,23.0252802,15.49594365,17.26719814,19.67528176,14.85911451,19.3566113,21.91635965,16.79686295,1.54,-61.9874187,-57.16903763,-66.80579978,-66.13944668,-51.79409304,-80.48480033,-29.33724136,-24.92002141,-33.75446132,,,,,,,,,,,,,,,,,,,,,
1.56,-38.15859413,-37.27021408,-39.04697418,-10.18388691,-5.073807085,-15.29396673,-17.6427739,-13.9788458,-21.306702,1.56,17.76864145,21.46184292,14.07543998,15.87695289,18.4794371,13.27446868,18.25797849,20.55002679,15.96593018,1.56,-65.71835158,-60.69740127,-70.73930189,-70.51936404,-55.64341555,-85.39531253,-39.23444929,-33.67049235,-44.79840623,,,,,,,,,,,,,,,,,,,,,
1.58,-40.57285309,,,-9.647925138,-3.187369981,-16.1084803,-18.16593231,-14.36339306,-21.96847157,1.58,16.20885421,20.06060731,12.3571011,14.11371504,16.84112129,11.3863088,17.73917966,19.92161307,15.55674624,1.58,-67.76049254,-62.38148643,-73.13949865,-70.39089118,-54.25995358,-86.52182878,-44.05182991,-37.90375084,-50.19990898,,,,,,,,,,,,,,,,,,,,,
1.6,-42.09873199,,,-10.94492221,-4.575062165,-17.31478225,-19.25584589,-15.2674351,-23.24425668,1.6,15.19160161,19.04677029,11.33643293,12.75737823,15.59851924,9.91623723,16.54899411,18.77782313,14.32016509,1.6,-70.46532694,-64.83868897,-76.09196492,-72.03349018,-55.26756003,-88.79942033,-44.32862101,-36.23847232,-52.41876969,,,,,,,,,,,,,,,,,,,,,
1.62,-43.01425934,,,-8.693717639,-0.953442325,-16.43399295,-19.72705086,-15.34826296,-24.10583876,1.62,14.03871531,17.80901004,10.26842058,11.23149933,14.33013755,8.132861107,15.66398439,18.03866538,13.28930341,1.62,-74.5552631,-68.56643916,-80.54408703,-78.17116419,-62.26839231,-94.07393608,-42.00266485,-33.90363793,-50.10169178,,,,,,,,,,,,,,,,,,,,,
1.64,-43.92978668,,,-10.21959654,-1.766212856,-18.67298023,-18.09205103,-14.73075306,-21.453349,1.64,11.86857631,15.59634114,8.140811492,8.89181861,12.12161756,5.66201966,15.14518559,17.36110979,12.92926139,1.64,-77.40378655,-70.80860079,-83.99897231,-82.53161282,-67.61651344,-97.4467122,-40.70270674,-33.82231282,-47.58310067,,,,,,,,,,,,,,,,,,,,,
1.66,,,,-10.32132181,-2.443127595,-18.19951602,-17.05895996,-13.25476259,-20.86315733,1.66,10.37660583,14.18839866,6.564813001,7.298122909,10.72149425,3.874751565,14.62638676,16.82113108,12.43164244,1.66,-80.20222558,-73.68988678,-86.71456438,-82.46883392,-67.72397007,-97.21369778,-43.85748825,-37.14391872,-50.57105779,,,,,,,,,,,,,,,,,,,,,
1.68,,,,-10.32132188,-3.005904016,-17.63673975,-18.20336914,-13.89560165,-22.51113663,1.68,9.020269023,12.77109022,5.269447822,5.534885009,9.201763795,1.868006224,12.79533211,15.07914459,10.51151963,1.68,-84.68002828,-78.61400415,-90.74605241,-83.3670294,-68.44016951,-98.29388929,-48.75813465,-41.23341512,-56.28285418,,,,,,,,,,,,,,,,,,,,,
1.7,,,,-12.35582709,-4.326524578,-20.38512961,-19.34777832,-14.8769042,-23.81865244,1.7,7.189214415,10.93425708,3.444171753,3.669921928,7.52720712,-0.187363264,12.39860355,14.5167217,10.2804854,1.7,-88.64926656,-82.86700046,-94.43153266,-86.72516251,-71.90455786,-101.5457672,-51.26374474,-42.56241193,-59.96507754,,,,,,,,,,,,,,,,,,,,,
1.72,,,,-13.67825548,-5.572636971,-21.78387399,-18.80641238,-13.82290633,-23.78991843,1.72,5.052983999,8.705765308,1.400202691,1.73714198,5.771572403,-2.297288443,10.93375999,13.03428499,8.833234981,1.72,-90.93920644,-85.19453952,-96.68387336,-88.40885798,-74.02587699,-102.791839,-51.92270832,-42.261025,-61.58439164,,,,,,,,,,,,,,,,,,,,,
1.74,,,,-15.10240911,-7.07310658,-23.13171164,-19.62021446,-13.95907314,-25.28135579,1.74,3.221929305,7.006266185,-0.562407575,-0.127821154,4.124142047,-4.379784355,10.38444363,12.52312672,8.245760536,1.74,-92.01740011,-85.89208412,-98.1427161,-87.62535265,-74.02153804,-101.2291673,-52.62684345,-42.38190314,-62.87178376,,,,,,,,,,,,,,,,,,,,,
1.76,,,,-9.406103708,-0.167285159,-18.64492226,-21.146094,-15.25375064,-27.03843737,1.76,1.797775613,5.589557648,-1.994006422,-2.365776867,2.085517346,-6.817071079,8.797529578,10.97628214,6.618777014,1.76,-93.12054867,-87.09931258,-99.14178477,-87.31197781,-74.88935809,-99.73459753,-54.73574333,-44.61733287,-64.85415379,,,,,,,,,,,,,,,,,,,,,
1.78,,,,-10.16904315,-0.777636707,-19.5604496,-22.26507187,-16.51014417,-28.01999957,1.78,-0.236729489,3.52839123,-4.001850209,-3.993381143,0.561225336,-8.547987621,7.882002223,10.12380906,5.640195381,1.78,-94.36399078,-88.69965962,-100.0283219,-88.57680935,-76.80638108,-100.3472376,-56.97663403,-46.41646359,-67.53680446,,,,,,,,,,,,,,,,,,,,,
1.8,,,,-11.69492209,-2.608691454,-20.78115273,-23.68922551,-18.22092322,-29.15752781,1.8,-2.474685195,1.341647582,-6.291017973,-5.926161144,-1.262918548,-10.58940374,6.783369392,9.126646458,4.440092326,1.8,-94.0445438,-88.36536762,-99.72371997,-89.64063729,-77.99546496,-101.2858096,-59.8266552,-48.52382583,-71.12948457,,,,,,,,,,,,,,,,,,,,,
1.82,,,,-12.61044931,-4.134570122,-21.08632851,-28.57431698,-21.5879879,-35.56064606,1.82,-4.102289374,-0.298903389,-7.905675359,-7.892849492,-3.046449462,-12.73924952,5.715254149,8.212717514,3.217790784,1.82,-93.07223256,-87.87302654,-98.27143859,-88.26415147,-76.3513052,-100.1769977,-66.43551006,-55.48468752,-77.3863326,,,,,,,,,,,,,,,,,,,,,
1.84,,,,-13.67856455,-5.050097466,-22.30703163,-29.94760799,-23.72421837,-36.17099762,1.84,-5.662076685,-1.960050711,-9.36410266,-10.13080534,-5.058929936,-15.20268074,3.701093981,6.305567465,1.096620496,1.84,-93.08079953,-88.68229851,-97.47930055,-85.21807565,-73.46329835,-96.97285295,-73.3873107,-62.50074036,-84.27388103,,,,,,,,,,,,,,,,,,,,,
1.86,,,,-14.441504,-5.355273247,-23.52773476,,,,1.86,-8.103482816,-4.318440744,-11.88852489,-11.55495898,-6.467397758,-16.64252021,2.144697416,4.874162382,-0.58476755,1.86,-93.49594031,-89.28219001,-97.70969062,-83.58216328,-72.53899372,-94.62533284,-74.25143127,-63.08894217,-85.41392038,,,,,,,,,,,,,,,,,,,,,
1.88,,,,-14.89926767,-5.660449028,-24.13808632,,,,1.88,-9.697178592,-5.861946428,-13.53241076,-13.62337265,-8.44990565,-18.79683965,1.137617385,3.891476364,-1.616241594,1.88,-94.31869168,-89.98717647,-98.65020689,-84.05703333,-73.71665815,-94.39740851,-71.06614037,-60.26829066,-81.86399007,,,,,,,,,,,,,,,,,,,,,
1.9,,,,-16.1199708,-6.881152153,-25.35878944,,,,1.9,-11.46041644,-7.726993627,-15.19383925,-15.52224414,-10.34588308,-20.69860519,-0.449296737,2.527001074,-3.425594547,1.9,-94.40746053,-90.17052027,-98.6444008,-83.78541014,-74.75959813,-92.81122214,-70.48133087,-60.13093597,-80.83172578,,,,,,,,,,,,,,,,,,,,,
1.92,,,,-16.88291025,-8.101855278,-25.66396523,,,,1.92,-13.63055531,-10.06433471,-17.19677591,-17.28548197,-12.00704279,-22.56392116,-1.547929543,1.637287807,-4.733146894,1.92,-91.91759491,-87.72736225,-96.10782757,-82.01576784,-73.48666198,-90.5448737,-74.03280144,-64.24179703,-83.82380584,,,,,,,,,,,,,,,,,,,,,
1.94,,,,-18.10361338,-9.627734184,-26.57949257,,,,1.94,-15.35988474,-11.77737156,-18.94239792,-19.04871982,-13.66771515,-24.42972448,-3.714677542,-0.535447235,-6.89390785,1.94,-89.09268358,-85.36015743,-92.82520973,-80.76817534,-72.92616923,-88.61018144,-76.40691414,-67.32047291,-85.49335536,,,,,,,,,,,,,,,,,,,,,
1.96,,,,-18.56137705,-9.322558403,-27.80019569,,,,1.96,-16.91967212,-13.36755027,-20.47179397,-20.60850716,-15.1785159,-26.03849841,-5.057451034,-1.674822713,-8.440079354,1.96,-88.12165409,-85.07677932,-91.16652885,-81.33111064,-74.60677058,-88.05545069,-73.13644848,-64.48955703,-81.78333993,,,,,,,,,,,,,,,,,,,,,
1.98,,,,-20.08725595,-10.84843731,-29.3260746,,,,1.98,-18.64900176,-15.04761776,-22.25038575,-22.40565342,-16.93376735,-27.8775395,-6.430742121,-2.869250598,-9.992233643,1.98,-88.54932658,-85.59070866,-91.5079445,-82.41498269,-76.34709141,-88.48287397,-69.21720886,-60.59240639,-77.84201133,,,,,,,,,,,,,,,,,,,,,
2,,,,-21.46054697,-12.37431622,-30.54677773,,,,2,-20.48005655,-17.02823155,-23.93188155,-24.37234179,-18.90163374,-29.84304985,-7.498857296,-3.843828369,-11.15388622,2,-89.13383399,-86.37433957,-91.89332841,-80.97013431,-75.14484129,-86.79542734,-69.96818552,-61.32060098,-78.61577006,,,,,,,,,,,,,,,,,,,,,
2.02,,,,-22.22348642,-13.59501934,-30.85195351,,,,2.02,-22.44674481,-18.96542233,-25.92806729,-25.93212917,-20.44200673,-31.42225161,-9.20784173,-5.324290838,-13.09139262,2.02,-88.25918664,-85.94114044,-90.57723284,-76.41736603,-70.75031033,-82.08442173,-72.89332123,-63.93942806,-81.8472144,,,,,,,,,,,,,,,,,,,,,
2.04,,,,-23.2916007,-14.2053709,-32.37783051,,,,2.04,-24.00653225,-20.42324975,-27.58981474,-27.42409982,-22.01030593,-32.8378937,-10.58113279,-6.648945576,-14.51332001,2.04,-86.0942866,-83.80855316,-88.38002004,-70.48013348,-64.33096368,-76.62930329,-74.21508217,-64.62620675,-83.80395759,,,,,,,,,,,,,,,,,,,,,
2.06,,,,-24.20712805,-15.12089825,-33.29335785,,,,2.06,-25.53241115,-22.19273271,-28.8720896,-28.91607009,-23.45999835,-34.37214183,-12.13752928,-7.928876343,-16.34618221,2.06,-83.41995239,-80.94335658,-85.8965482,-64.88647715,-56.9124876,-72.8604667,-73.41137562,-64.92270725,-81.90004399,,,,,,,,,,,,,,,,,,,,,
2.08,,,,-24.6648922,-16.03642654,-33.29335785,,,,2.08,-27.73645846,-24.40088533,-31.07203159,-30.1028648,-24.54271909,-35.6630105,-13.6328905,-9.373662564,-17.89211843,2.08,-80.33946906,-77.85321326,-82.82572486,-62.47407087,-54.84911221,-70.09902952,-70.33534851,-64.14993662,-76.52076041,,,,,,,,,,,,,,,,,,,,,
2.1,,,,-25.58041954,-16.95195389,-34.20888519,,,,2.1,-29.02497843,-25.49942279,-32.55053406,-31.42529318,-25.93139933,-36.91918703,-14.7620409,-10.45575949,-19.06832232,2.1,-77.80317052,-75.10382032,-80.50252072,-64.62426673,-59.33815939,-69.91037407,-66.20909996,-60.77699404,-71.64120588,,,,,,,,,,,,,,,,,,,,,
2.12,,,,-26.49594688,-17.86748123,-35.12441254,,,,2.12,-30.38131523,-27.08864131,-33.67398915,-33.05289735,-27.6369113,-38.46888339,-16.01326154,-11.59151247,-20.43501062,2.12,-75.63615672,-72.37003659,-78.90227685,-68.18999439,-63.01477719,-73.36521158,-64.98765678,-59.46414513,-70.51116844,,,,,,,,,,,,,,,,,,,,,
2.14,,,,-18.78300858,,,,,,2.14,-32.07673624,-28.85996874,-35.29350373,-34.40923415,-29.00061701,-39.8178513,-17.41707023,-12.85743697,-21.9767035,2.14,-73.12581423,-69.30950026,-76.94212819,-69.37784364,-63.96760594,-74.78808135,-67.84349098,-61.59101935,-74.09596261,,,,,,,,,,,,,,,,,,,,,
2.16,,,,-20.30888748,,,,,,2.16,-33.70434019,-30.45676211,-36.95191827,-36.0029299,-30.67567852,-41.33018128,-18.91243157,-14.25541632,-23.56944682,2.16,-70.06429927,-66.45754622,-73.67105232,-65.86034054,-60.88673013,-70.83395096,-70.55275593,-65.00516784,-76.10034402,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.18,-34.85722648,-31.77112011,-37.94333285,-37.15581576,-31.83699034,-42.47464118,-20.37727532,-15.6902733,-25.06427735,2.18,-66.91932466,-63.82199458,-70.01665474,-59.43864102,-54.25085542,-64.62642662,-69.2758812,-64.10688727,-74.44487512,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.2,-35.84057087,-32.71082008,-38.97032167,-37.96961784,-32.68317944,-43.25605624,-21.84211888,-17.01964554,-26.66459223,2.2,-65.81530889,-62.90594256,-68.72467522,-57.37569385,-51.5614276,-63.18996011,-65.31371803,-59.24621194,-71.38122412,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.22,-37.60380872,-34.54338292,-40.66423452,-39.63113022,-34.51035793,-44.7519025,-22.84919896,-17.88576911,-27.81262881,2.22,-65.71812736,-63.39678617,-68.03946855,-60.53337945,-53.35093491,-67.71582399,-61.96574469,-55.38738762,-68.54410175,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.24,-38.85842048,-35.77357295,-41.94326801,-41.22482597,-36.16243035,-46.28722158,-24.06990204,-18.96794311,-29.17186097,2.24,-63.65220218,-61.73960468,-65.56479969,-59.67844454,-52.01415437,-67.34273472,-60.09534063,-54.31485101,-65.87583026,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.26,-39.70613098,-36.56980497,-42.84245699,-42.10644489,-37.14295108,-47.06993869,-25.38215795,-20.3409373,-30.42337859,2.26,-60.13584985,-57.91670167,-62.35499802,-53.0497462,-47.90044388,-58.19904851,-58.89877071,-54.2872163,-63.51032513,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.28,-41.02855937,-38.05714711,-43.99997162,-42.68288803,-37.81385054,-47.55192552,-26.29768543,-21.02839214,-31.56697872,2.28,-57.11247381,-54.48034459,-59.74460303,-48.59382545,-44.38912274,-52.79852815,-58.04318008,-53.41037743,-62.67598274,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.3,-42.45271301,-39.58583591,-45.31959012,-43.63232379,-38.70490105,-48.55974654,-27.51838856,-22.37042633,-32.66635079,2.3,-55.39781231,-52.3979779,-58.39764672,-48.68891186,-43.44752533,-53.93029839,-58.035532,-53.84262667,-62.22843733,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.32,-43.40214878,-40.39834651,-46.40595104,-44.71739345,-39.86201412,-49.57277278,-28.46443329,-23.32775504,-33.60111154,2.32,-54.11975606,-50.98896327,-57.25054885,-49.08894687,-43.59819919,-54.57969455,-58.94354286,-56.02193312,-61.86515261,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.34,-44.14813402,-41.30092154,-46.9953465,-46.07373026,-41.3968859,-50.75057462,-30.20393524,-25.04631859,-35.36155189,2.34,-51.50438605,-48.48327996,-54.52549215,-47.49242316,-41.78573483,-53.19911149,-58.37678642,-55.41255091,-61.34102193,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.36,-45.60619609,-42.87186132,-48.34053086,-46.71799024,-42.05914575,-51.37683473,-30.93635712,-25.68017696,-36.19253727,2.36,-47.92326652,-45.28565353,-50.56087951,-45.98163509,-40.77835665,-51.18491353,-56.0390377,-51.85847142,-60.21960399,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.38,-46.31827291,-43.48630336,-49.15024246,-47.63351758,-43.08861571,-52.17841946,-31.97395477,-26.61534674,-37.33256281,2.38,-45.76457151,-43.38075293,-48.14839009,-45.91876814,-41.25751704,-50.58001924,-55.43804874,-50.9258597,-59.95023779,,,,,,,,,,,,,,,,,,,,,
